,Vectors,DOIs,Topics
0,"[-0.0753713  -0.03724902  0.0863414  -0.07403561 -0.00741796 -0.03797922
 -0.04524841 -0.0988018  -0.21704258 -0.02869391  0.09791607 -0.01010523
 -0.04264164 -0.08771401 -0.02501992 -0.06814449  0.03643583  0.10861934
 -0.15192729  0.1067683  -0.01018443 -0.00041335 -0.13170141  0.14501432
  0.1463181   0.06833097 -0.01698837  0.13662314  0.16353382 -0.12841982]",10.1080/08998280.2005.11928039,[]
1,"[ 0.01960948  0.09898837  0.15475273 -0.20484798 -0.19749622  0.14192292
  0.13755524  0.06956051 -0.557009    0.02012314  0.35234213  0.09987001
 -0.13754775 -0.13825572 -0.1887315  -0.15917651  0.20302202  0.03016028
 -0.40113425  0.29824343  0.08289883 -0.05189491 -0.14154413  0.2767419
  0.32484806  0.54542726  0.01876467  0.28765732  0.19479328 -0.30143568]",10.3109/01676830903104660,"['Acute Disease', 'Aged', 'Eye Enucleation', 'Eye, Artificial', 'Female', 'Humans', 'Hypersensitivity', 'Male', 'Orbital Implants', 'Polymers', 'Polymethyl Methacrylate', 'Retrospective Studies']"
2,"[ 0.36866772  0.7895641   0.30403072 -0.37078425 -0.28131896  0.5465566
  1.2921233   0.99441534 -1.9209303  -0.02511367  0.6326003   0.3313748
 -1.1030515  -1.1492556  -1.1451986  -0.85994536 -0.16685197 -0.7429549
 -0.93836445  0.6508155   0.99619526 -0.14176175 -0.35981598  0.607269
  0.9426372   1.4355171   0.81190515  0.15804026  0.5000665  -0.7245499 ]",10.1038/sj.onc.1207036,"['Adenocarcinoma', 'Animals', 'Anoikis', 'Antigens, CD', 'Antigens, Neoplasm', 'Caspases', 'Cell Adhesion Molecules', 'Cell Division', 'Cell Line, Tumor', 'GPI-Linked Proteins', 'Gene Silencing', 'Humans', 'Liver Neoplasms', 'Mice', 'Mice, Nude', 'Neoplasm Metastasis', 'Neoplasm Transplantation', 'Oncogene Protein v-akt', 'Pancreatic Neoplasms', 'RNA, Messenger', 'RNA, Small Interfering', 'Retroviridae Proteins, Oncogenic']"
3,"[ 0.29714307  0.8752997  -0.2242964  -1.0324377  -0.91667575  1.5402713
  0.8202323   0.94690084 -1.9453355   0.8297737   1.075808    0.196515
 -0.3798073  -0.44994026 -0.80029094 -0.45653957  0.56991553 -0.0170371
 -1.3798051   1.1291935   0.81940675 -0.53270525 -0.36039045  0.29884613
  1.0807008   1.8050076   0.1487877   1.0573591   0.32431725 -0.88207436]",10.1038/modpathol.3800247,"['Adult', 'Aged', 'Aged, 80 and over', 'Antigens, CD', 'Antigens, Differentiation, Myelomonocytic', 'Aspergillosis', 'Aspergillus', 'Autopsy', 'Canada', 'Cytomegalovirus', 'Cytomegalovirus Infections', 'Female', 'Herpes Simplex', 'Humans', 'Immunohistochemistry', 'Keratins', 'Lung', 'Lung Diseases, Fungal', 'Male', 'Middle Aged', 'Nuclear Proteins', 'RNA, Viral', 'Reverse Transcriptase Polymerase Chain Reaction', 'Severe acute respiratory syndrome-related coronavirus', 'Severe Acute Respiratory Syndrome', 'Simplexvirus', 'Thyroid Nuclear Factor 1', 'Transcription Factors', 'Viral Matrix Proteins']"
4,"[ 0.6819332   0.5973326   0.08857223 -0.36423263 -0.91207796  0.5084767
  0.65246826  0.754849   -1.5570291  -0.08201317  1.3587826   0.53609735
 -0.6832323  -0.38049594 -1.0453463  -0.59099114  0.8595517  -0.528719
 -1.6623335   0.6472448   0.76554435 -0.46997297  0.11474872  0.22316286
  0.7261962   2.222138    0.16646151  0.891282    0.29205874 -1.008833  ]",10.2174/138620709789824709,"['Animals', 'Computer-Aided Design', 'Drug Design', 'High-Throughput Screening Assays', 'Humans', 'Ligands', 'Protein Binding']"
5,"[ 0.25345033  0.46049687  0.38270116 -0.5053029  -0.38570908  0.5876144
  0.6393882   0.5886577  -1.814292    0.05071669  0.9341137  -0.00365527
 -0.4853245  -0.40586975 -0.48458493 -0.7418372   0.30179033 -0.17424276
 -1.6160784   0.7324017   0.5196883  -0.32391998 -0.2000237   0.54823273
  0.41937283  1.5712844   0.29748043  0.64543283  0.30875674 -0.7867766 ]",10.1111/j.1552-6569.2008.00331.x,"['Adipose Tissue', 'Adult', 'Algorithms', 'Bone Marrow', 'Brain', 'Cerebrospinal Fluid', 'Feasibility Studies', 'Female', 'Health Status', 'Humans', 'Imaging, Three-Dimensional', 'Magnetic Resonance Imaging', 'Male', 'Models, Neurological', 'Nerve Fibers, Myelinated', 'Nerve Fibers, Unmyelinated', 'Phantoms, Imaging', 'Young Adult']"
6,"[ 0.13377604  0.22671421  0.2030564  -0.28768697 -0.33570564  0.30799165
  0.25698018  0.27163136 -0.94722396 -0.02537911  0.7100629   0.27363187
 -0.2748831  -0.20040151 -0.40608758 -0.20392841  0.39719015 -0.14001894
 -0.75211257  0.48369223  0.22019207 -0.17355257 -0.0607288   0.3785213
  0.49327362  1.0489587   0.0163806   0.4312458   0.217258   -0.55526   ]",10.1002/14651858.CD004901.pub2,"['Abortifacient Agents, Nonsteroidal', 'Abortion, Induced', 'Congenital Abnormalities', 'Female', 'Fetal Death', 'Humans', 'Labor, Induced', 'Misoprostol', 'Oxytocics', 'Pregnancy', 'Pregnancy Trimester, Second', 'Pregnancy Trimester, Third', 'Randomized Controlled Trials as Topic']"
7,"[-0.14874159 -0.08113524  0.14721553 -0.13407825 -0.06331087 -0.09276601
 -0.16973354 -0.23409386 -0.29553843  0.02469152  0.15418561 -0.02251577
 -0.0064744  -0.13616213 -0.02428602 -0.1265019   0.04247602  0.25485814
 -0.28610253  0.17035723 -0.03042448 -0.09711037 -0.211382    0.22515857
  0.25635287  0.14504874 -0.14070332  0.30836087  0.25144935 -0.19920444]",10.1001/jama.2010.616,"['Delivery of Health Care', 'Developing Countries', 'Global Health', 'Health Services Needs and Demand', 'Health Services Research', 'Health Status Disparities', 'Healthcare Disparities', 'Human Rights', 'Humans', 'Mental Disorders', 'Mental Health']"
8,"[ 1.2491426   1.0210023   0.5924183  -0.28970772 -0.5019933   0.87407774
  1.1600839   1.5865874  -2.064496   -0.2750387   0.50468844 -0.4322258
 -1.3051966  -1.1651083  -1.3293985  -0.85144943  0.70088434 -0.6905895
 -1.5583924   0.9732144   1.0673584  -0.23255529  0.03117395  0.2494764
  0.65002483  1.7048645   0.756815    0.89303374  0.37398136 -0.59595484]",10.1016/j.regpep.2010.02.007,"['Angiotensin II', 'Angiotensin III', 'Animals', 'Binding Sites', 'Cell Membrane', 'Male', 'Mice', 'Osmolar Concentration', 'Radioligand Assay']"
9,"[ 0.09686473  0.31584662  0.38803267 -0.59679294 -0.77485573  0.4054826
  0.32520625  0.5002059  -1.8392179   0.20994094  1.3404619   0.62706345
 -0.35456795 -0.18973675 -0.58075356 -0.32211745  0.8548869  -0.02424864
 -1.3120521   0.65998566  0.17421089 -0.3373594  -0.223302    0.7951218
  0.93424666  1.9773948   0.01315639  0.7544067   0.42696515 -0.9658908 ]",10.1017/S1461145711000083,"['Antidepressive Agents', 'Depressive Disorder, Major', 'Drug Costs', 'Drug Resistance', 'Drug Substitution', 'Drug Therapy, Combination', 'Drugs, Generic', 'Evidence-Based Medicine', 'Humans', 'Patient Selection', 'Pharmacogenetics', 'Practice Guidelines as Topic', 'Risk Assessment', 'Treatment Outcome']"
